"lat","lng","price_level","rating"
41.4104799,2.1745,2,4.4
41.4105624,2.1741296,2,4
41.409829,2.172821,NA,4.2
41.410858,2.173924,NA,4.3
41.4098061,2.1726886,1,4.5
41.4107152,2.1741977,2,3.9
41.4108674,2.1741198,NA,4.2
41.4106484,2.1744917,2,3.7
41.4106118,2.1733825,NA,3
41.4108419,2.1736885,NA,2.9
41.4106677,2.1741804,NA,4
41.4102365,2.1745059,NA,4.4
41.4096573,2.1741593,NA,4.3
41.4102365,2.1745059,NA,4.1
41.4102365,2.1745059,NA,NA
41.4103408,2.1745025,NA,NA
41.4101399,2.1745095,1,4.2
41.4101399,2.1745095,NA,NA
41.4104799,2.1745,NA,NA
41.41048,2.1745,NA,5
